Channel	X	Y
Start Time	9/18/2019  16:29:09.	9/18/2019  16:29:09.
Chart History (Refresh Period)	3.829480E-5	3.829480E-5

Time	X	Y
9/18/2019  16:29:09.	8.102537E-3	1.030123E+0
9/18/2019  16:29:09.	4.398400E-3	9.644147E-1
9/18/2019  16:29:09.	4.237351E-3	8.995117E-1
9/18/2019  16:29:09.	2.626856E-3	8.288109E-1
9/18/2019  16:29:09.	-5.941322E-4	7.639079E-1
9/18/2019  16:29:09.	-3.493022E-3	6.962670E-1
9/18/2019  16:29:09.	-4.620368E-3	6.305588E-1
9/18/2019  16:29:09.	-8.485555E-3	5.558318E-1
9/18/2019  16:29:09.	-6.875060E-3	4.928614E-1
9/18/2019  16:29:09.	-1.041815E-2	4.265090E-1
9/18/2019  16:29:09.	-1.138444E-2	3.566136E-1
9/18/2019  16:29:09.	-8.968703E-3	2.865570E-1
9/18/2019  16:29:09.	-1.428333E-2	2.161784E-1
9/18/2019  16:29:09.	-1.396124E-2	1.522418E-1
9/18/2019  16:29:09.	-1.750432E-2	8.089688E-2
9/18/2019  16:29:09.	-1.396124E-2	1.551081E-2
9/18/2019  16:29:09.	-1.524963E-2	-5.696143E-2
9/18/2019  16:29:09.	-2.040321E-2	-1.220254E-1
9/18/2019  16:29:09.	-2.233581E-2	-1.899883E-1
9/18/2019  16:29:09.	-2.716729E-2	-2.632658E-1
9/18/2019  16:29:09.	-2.298000E-2	-3.246256E-1
9/18/2019  16:29:09.	-2.765044E-2	-3.922664E-1
9/18/2019  16:29:09.	-3.054933E-2	-4.603903E-1
9/18/2019  16:29:09.	-3.232087E-2	-5.306078E-1
9/18/2019  16:29:09.	-3.409241E-2	-6.009864E-1
9/18/2019  16:29:09.	-3.344822E-2	-6.718482E-1
9/18/2019  16:29:09.	-3.328717E-2	-7.362680E-1
9/18/2019  16:29:09.	-3.538081E-2	-8.053582E-1
9/18/2019  16:29:09.	-3.377032E-2	-8.702612E-1
9/18/2019  16:29:09.	-3.489766E-2	-9.408009E-1
9/18/2019  16:29:09.	-3.699130E-2	-1.004899E+0
9/18/2019  16:29:09.	-3.666921E-2	-1.072056E+0
9/18/2019  16:29:09.	-3.811865E-2	-1.136154E+0
9/18/2019  16:29:09.	-4.166174E-2	-1.202345E+0
9/18/2019  16:29:09.	-4.198384E-2	-1.268376E+0
9/18/2019  16:29:09.	-4.343328E-2	-1.335695E+0
9/18/2019  16:29:09.	-4.681532E-2	-1.401564E+0
9/18/2019  16:29:09.	-4.778162E-2	-1.469366E+0
9/18/2019  16:29:09.	-4.987526E-2	-1.532175E+0
9/18/2019  16:29:09.	-5.068051E-2	-1.592086E+0
9/18/2019  16:29:09.	-5.164680E-2	-1.661176E+0
9/18/2019  16:29:09.	-5.599514E-2	-1.720765E+0
9/18/2019  16:29:09.	-5.309625E-2	-1.791143E+0
9/18/2019  16:29:09.	-5.293520E-2	-1.852987E+0
9/18/2019  16:29:09.	-5.486779E-2	-1.914669E+0
9/18/2019  16:29:09.	-5.760563E-2	-1.978284E+0
9/18/2019  16:29:09.	-5.712248E-2	-2.040449E+0
9/18/2019  16:29:09.	-5.889403E-2	-2.104064E+0
9/18/2019  16:29:09.	-6.002137E-2	-2.158338E+0
9/18/2019  16:29:09.	-6.050452E-2	-2.221469E+0
9/18/2019  16:29:09.	-6.066557E-2	-2.278159E+0
9/18/2019  16:29:09.	-6.726860E-2	-2.341935E+0
9/18/2019  16:29:09.	-6.533601E-2	-2.398786E+0
9/18/2019  16:29:09.	-6.839594E-2	-2.455314E+0
9/18/2019  16:29:09.	-7.016749E-2	-2.522150E+0
9/18/2019  16:29:09.	-7.161693E-2	-2.578196E+0
9/18/2019  16:29:09.	-7.483792E-2	-2.628605E+0
9/18/2019  16:29:09.	-7.483792E-2	-2.686422E+0
